title,stock,images,precio,peso,categories,excerpt,Nombre,Apellido
Cuero señalador,1,CUERO/SEÑALADORES/Señaladores de Cuero.jpg,2500,20,CUERO,"Realizados en cuero vacuno. Pirograbados. 15,5x7 cm",,
Cuero Evangelio con estuche pirograbado,1,CUERO/ESTUCHES/Cuero Evangelio con estuche pirograbado A.jpg,16000,90,CUERO,"Los cuatro Evangelios en formato bolsillo en su estuche de cuero vacuno pirograbado. 9x13,5 cm",,
Detentes - Protección del Sagrado Corazón de Jesús,100,VARIOS/ESCAPULARIOS Y DETENTES/Detentes.jpg,1200,1,VARIOS>ESCAPULARIOS Y DETENTES,"Pequeña imagen del Sagrado Corazón de Jesús sobre paño rojo, con la inscripción ""¡Detente! El Sagrado Corazón de Jesús está conmigo"" -    5x4 cm",,
Escapulario chico,100,VARIOS/ESCAPULARIOS Y DETENTES/Escapulario chico.jpg,1200,1,VARIOS>ESCAPULARIOS Y DETENTES,"Confeccionados con tela e hilo macramé . Con la imagen de la Virgen del Carmen- 3,5x2,5 cm",,
Escapulario Grande,100,VARIOS/ESCAPULARIOS Y DETENTES/Escapulario grande.jpg,2000,2,VARIOS>ESCAPULARIOS Y DETENTES,"Confeccionados con tela y cola de rata- Imagen de la Virgen del Carmen y Sagrado Corazón  5,5x4 cm",,
Estampas de Flores Nada te turbe -1,1,VARIOS/ESTAMPAS FLORES/Estampas Flores Nada te turbe -1.jpg,1200,1,VARIOS>ESTAMPAS DE FLORES,"Señaladores en papel reciclado. Diseño artísitico con flores de Bariloche. 15x7,5 cm",,
Estampas de Flores Nada te turbe -2,1,VARIOS/ESTAMPAS FLORES/Estampas Flores Nada te turbe -2.jpg,1200,1,VARIOS>ESTAMPAS DE FLORES,"Señaladores en papel reciclado. Diseño artísitico con flores de Bariloche. 15x7,5 cm",,
Estampas de Flores Nada te turbe -3,1,VARIOS/ESTAMPAS FLORES/Estampas Flores Nada te turbe -3.jpg,1200,1,VARIOS>ESTAMPAS DE FLORES,"Señaladores en papel reciclado. Diseño artísitico con flores de Bariloche. 15x7,5 cm",,
Estampas de Flores Nada te turbe -4,1,VARIOS/ESTAMPAS FLORES/Estampas Flores Nada te turbe -4.jpg,1200,1,VARIOS>ESTAMPAS DE FLORES,"Señaladores en papel reciclado. Diseño artísitico con flores de Bariloche. 15x7,5 cm",,
Estampas de Flores Nada te turbe -5,1,VARIOS/ESTAMPAS FLORES/Estampas Flores Nada te turbe -5.jpg,1200,1,VARIOS>ESTAMPAS DE FLORES,"Señaladores en papel reciclado. Diseño artísitico con flores de Bariloche. 15x7,5 cm",,
Madera Cuadros puntillismo SAGRADA FAMILIA -1-,1,Madera/CUADROS PUNTILLISMO/Madera Cuadro Puntillismo Sgda. Familia -1.jpg,18000,325,MADERA>CUADROS PUNTILLISMO,"Pintado a mano con técnica puntillismo. 22,5 x 19,5 cm",,
Madera Cuadros puntillismo Sagrada Familia -2-,1,Madera/CUADROS PUNTILLISMO/Madera Cuadro Puntillismo Sgda. Familia -2.jpg,18000,325,MADERA>CUADROS PUNTILLISMO,"Pintado a mano con técnica puntillismo. 22,5 x 19,5 cm",,
Madera Cuadros puntillismo Virgencita de Luján -1-,1,Madera/CUADROS PUNTILLISMO/Madera Cuadro Puntillismo Virgencita de Luján -1.jpg,15000,280,MADERA>CUADROS PUNTILLISMO,"Pintado a mano con técnica puntillismo, 25 x 18 cm",,
Madera Cuadros puntillismo Virgencita de Luján -2-,1,Madera/CUADROS PUNTILLISMO/Madera Cuadro Puntillismo Virgencita de Luján -2.jpg,15000,280,MADERA>CUADROS PUNTILLISMO,"Pintado a mano con técnica puntillismo, 25 x 18 cm",,
Madera Corazones pintados -1,100,Madera/CUNEROS/CORAZONES Y CRUCES/Madera Corazones pintados -1.jpg,6500,90,MADERA>CUNEROS,"Cunero colgante: Corazón pintado a mano,  con motivo infantil. 11,5 x 10,5 cm",,
Madera Corazones pintados-2,100,Madera/CUNEROS/CORAZONES Y CRUCES/Madera Corazones pintados -2.jpg,6500,90,MADERA>CUNEROS,"Cunero colgante: Corazón pintado a mano,  con motivo infantil. 11,5 x 10,5 cm",,
Madera Corazones pintados-3,100,Madera/CUNEROS/CORAZONES Y CRUCES/Madera Corazones pintados -3.jpg,6500,90,MADERA>CUNEROS,"Cunero colgante: Corazón pintado a mano,  con motivo infantil. 11,5 x 10,5 cm",,
Madera Redondeles cuneritos,100,Madera/CUNEROS/REDONDELES/Madera Redondeles cuneritos.jpg,4500,50,MADERA>CUNEROS,Cunero colgante redondo. 8cm de diámetro. Pintado a mano - Motivo infantil -,,
Madera Cuadros Pasta piedra Virgen María -GRANDE-,1,Madera/CUADROS PASTA PIEDRA/Madera Cuadro Virgen María Pasta Piedra -1.jpg,50000,1300,MADERA>CUADROS PASTA PIEDRA,Virgen María en un diseño infantil. Pintada y modelada a mano en Pasta Piedra. 40x30 cm - 1 cm grosor de la madera,,
Madera Cuadros Pasta piedra Virgen María -MEDIO-,1,Madera/CUADROS PASTA PIEDRA/Madera Cuadro Virgen María Pasta Piedra -2.jpg,40000,900,MADERA>CUADROS PASTA PIEDRA,Virgen María en un diseño infantil. Pintada y modelada a mano en Pasta Piedra. 32x26 cm 1 cm grosor de la madera - ,,
Rosarios 24 glorias Sta. Teresita,100,VARIOS/ROSARIOS/Rosarios 24 glorias Sta. Teresita.jpg,1600,8,VARIOS>ROSARIOS,"Rosario  de 24 cuentas, en honor de los 24 años de vida de Sta. Teresita del Niño Jesús.  Con estampa explicativa (14,5x10 cm)",,
Rosarios Cola de rata,100,VARIOS/ROSARIOS/Rosario cola de rata.jpg,2500,8,VARIOS>ROSARIOS,"Rosario de bolsillo, con cuentas de madera pequeñas y cruz acorde.  Sencillo y práctico para nuestra oración cotidiana a la Virgen María.",,
Velas Litúrgicas de Cera de abeja  (CHICAS) ,100,VELAS/CERA DE ABEJAS/Vela Cera de abeja chica.jpg,6500,235,VELAS,"Elaboradas con CERA DE ABEJAS. Aptas para uso en la Santa Misa u otros actos litúrgicos y devocionales. 5,5X 10,5 cm",,
Velas Colores y Aromas (ROSAS),100,VELAS/COLORES Y AROMAS/Colores y aromas Rosas.jpg,4500,170,VELAS,"Elaboradas con parafina, colores y esencias perfumadas. 4,2x12 cm",,
Cerámica Rosario engarzados (perfume de Rosas con cajita),1,VARIOS/ROSARIOS/Rosario engarzados.jpg,15000,40,CERÁMICA,Rosario engarzado con cuentas de cerámica realizadas de manera artesanal.  Perfume de rosas. Incluye cajita portarosario.,,
Cerámica cruces souvenir,1,Cerámica/CRUCES/Cruz souvenir.jpg,4600,35,CERÁMICA,"Cruz colgante de cerámica con el Niño Jesús - Diseños exclusivos - Ideal para cuneros o la habitación de los niños. 6,5x5,5 cm ",,
Cerámica Pesebre,1,Cerámica/PESEBRES/Pesebre cerámica.jpg,15000,210,CERÁMICA,"Pesebre artesanal - Diseños exclusivos. 14x9,5 cm",,
Cerámica Virgen embarazada,1,Cerámica/Virgen Embarazada.jpg,25000,265,CERÁMICA,"Imagen de la Virgen María, advocación ""Nuestra Señora de la Dulce Espera!""- Diseños exclusivos -19,5 x 6,5 cm",,
Cerámica Niños Jesús-1-,1,Cerámica/Niños Jesús/Cerámica Niño Jesús-1.jpg,4000,18,CERÁMICA>NIÑOS JESÚS,Imagen artesanal del Niño Jesús con aureola y cunita - 5x4 cm,,
Cerámica Niños Jesús-2-,1,Cerámica/Niños Jesús/Cerámica Niño Jesús-2.jpg,4000,18,CERÁMICA>NIÑOS JESÚS,Imagen artesanal del Niño Jesús con aureola y cunita - 5x4 cm,,
Cerámica Niños Jesús-3-,1,Cerámica/Niños Jesús/Cerámica Niño Jesús-3.jpg,4000,18,CERÁMICA>NIÑOS JESÚS,Imagen artesanal del Niño Jesús con aureola y cunita - 5x4 cm,,
Cerámica Niños Jesús-4-,1,Cerámica/Niños Jesús/Cerámica Niño Jesús-4.jpg,4000,18,CERÁMICA>NIÑOS JESÚS,Imagen artesanal del Niño Jesús con aureola y cunita - 5x4 cm,,
